id,ville,quartier,prix,surface,chambres,salles_bain,etage,ascenseur,parking,terrasse,type,lat,lng
728,Casablanca,Palmier,634000,84,2,2,5,Yes,Yes,Yes,Appartement,33.589874,-7.602945
729,Marrakech,Hivernage,873000,35,1,1,5,Yes,Yes,No,Studio,31.630787,-7.98227
730,Casablanca,Bourgogne,912000,33,1,1,2,Yes,No,No,Studio,33.578504,-7.59663
731,Casablanca,Maarif,1266000,45,1,1,1,Yes,No,No,Studio,33.584526,-7.610124
732,Marrakech,Guéliz,1082000,42,1,1,3,Yes,Yes,No,Studio,31.629316,-7.98284
733,Tanger,Iberia,870000,70,2,1,5,Yes,No,No,Appartement,35.75796,-5.839459
734,Casablanca,Ain Sebaâ,1387000,57,1,1,1,Yes,No,Yes,Studio,33.558491,-7.556598
735,Casablanca,Hay Hassani,1050000,103,2,1,5,Yes,No,Yes,Appartement,33.546525,-7.610562
736,Casablanca,Anfa,2739000,150,3,2,3,Yes,Yes,Yes,Appartement,33.5963,-7.621329
737,Casablanca,Maarif,2195000,117,2,1,3,Yes,No,No,Appartement,33.583961,-7.608173
738,Meknès,Al Qods,1500000,153,3,2,2,Yes,No,No,Appartement,33.895224,-5.544123
739,Casablanca,Bourgogne,3756000,327,4,3,3,Yes,Yes,Yes,Appartement,33.586604,-7.607565
740,Casablanca,Hay Hassani,1552000,116,3,2,4,Yes,No,No,Appartement,33.549273,-7.597897
741,Casablanca,Hay Hassani,1051000,114,2,1,3,Yes,No,No,Appartement,33.548256,-7.601089
742,Casablanca,Hay Hassani,1248000,49,1,1,4,Yes,No,Yes,Studio,33.54579,-7.593752
743,Casablanca,Gauthier,991000,36,1,1,3,Yes,No,No,Studio,33.581303,-7.605602
744,Casablanca,Ain Sebaâ,918000,33,1,1,3,Yes,No,No,Studio,33.556709,-7.552042
745,Dar Bouazza,Dar Bouazza Centre,1925000,118,2,2,1,Yes,Yes,Yes,Appartement,33.478126,-7.761783
746,Casablanca,Bourgogne,1214000,56,1,1,2,Yes,Yes,Yes,Studio,33.581161,-7.602424
747,Casablanca,Hay Hassani,1643000,71,2,2,3,Yes,Yes,Yes,Appartement,33.5434,-7.59973
748,Casablanca,Anfa,1655000,78,2,2,3,Yes,Yes,Yes,Appartement,33.600034,-7.624921
749,Casablanca,Anfa,644000,88,2,2,5,Yes,Yes,Yes,Appartement,33.595305,-7.619685
750,Marrakech,Targa,951000,36,1,1,5,Yes,Yes,No,Studio,31.627131,-7.984806
751,Casablanca,Hay Hassani,890000,34,1,1,2,Yes,No,No,Studio,33.543034,-7.597863
752,Casablanca,Anfa,1377000,46,1,1,1,Yes,No,No,Studio,33.606365,-7.619458
753,Marrakech,Palmeraie,999000,45,1,1,3,Yes,Yes,No,Studio,31.628511,-7.975557
754,Tanger,Malabata,939000,59,2,1,5,Yes,No,No,Appartement,35.760664,-5.836468
755,Casablanca,Ain Sebaâ,1555000,58,1,1,1,Yes,No,Yes,Studio,33.553636,-7.558565
756,Casablanca,Ain Sebaâ,953000,99,2,1,5,Yes,No,Yes,Appartement,33.551793,-7.557978
757,Casablanca,Bourgogne,2652000,144,3,2,3,Yes,Yes,Yes,Appartement,33.586246,-7.600737
758,Casablanca,Anfa,2121000,134,2,1,3,Yes,No,No,Appartement,33.595242,-7.621968
759,Meknès,Ismailia,1492000,165,3,2,2,Yes,No,No,Appartement,33.895136,-5.546294
760,Casablanca,Anfa,3956000,335,4,3,3,Yes,Yes,Yes,Appartement,33.600471,-7.619893
761,Casablanca,Palmier,1547000,130,3,2,4,Yes,No,No,Appartement,33.581839,-7.592054
762,Casablanca,CIL,1213000,101,2,1,3,Yes,No,No,Appartement,33.589484,-7.619756
763,Casablanca,Sidi Maarouf,1394000,48,1,1,4,Yes,No,Yes,Studio,33.533469,-7.613766
764,Casablanca,Palmier,991000,34,1,1,3,Yes,No,No,Studio,33.583084,-7.60158
765,Casablanca,CIL,910000,28,1,1,3,Yes,No,No,Studio,33.59777,-7.613272
766,Dar Bouazza,Bouskoura,1728000,128,2,2,1,Yes,Yes,Yes,Appartement,33.474028,-7.75404
767,Casablanca,Hay Hassani,1229000,54,1,1,2,Yes,Yes,Yes,Studio,33.550981,-7.605896
768,Casablanca,Bourgogne,1599000,69,2,2,3,Yes,Yes,Yes,Appartement,33.581911,-7.603021
769,Casablanca,CIL,1746000,73,2,2,3,Yes,Yes,Yes,Appartement,33.589094,-7.614428
770,Casablanca,Bourgogne,685000,84,2,2,5,Yes,Yes,Yes,Appartement,33.583368,-7.604563
771,Marrakech,Palmeraie,941000,34,1,1,5,Yes,Yes,No,Studio,31.627148,-7.979684
772,Casablanca,Maarif,1001000,35,1,1,2,Yes,No,No,Studio,33.585452,-7.606461
773,Casablanca,Anfa,1301000,47,1,1,1,Yes,No,No,Studio,33.588059,-7.624631
774,Marrakech,Hivernage,1138000,46,1,1,3,Yes,Yes,No,Studio,31.627815,-7.98141
775,Tanger,Centre-ville,962000,59,2,1,5,Yes,No,No,Appartement,35.758616,-5.839378
776,Casablanca,Bourgogne,1505000,53,1,1,1,Yes,No,Yes,Studio,33.582589,-7.607886
777,Casablanca,Anfa,1056000,96,2,1,5,Yes,No,Yes,Appartement,33.59114,-7.616366
778,Casablanca,Ain Sebaâ,2640000,138,3,2,3,Yes,Yes,Yes,Appartement,33.552783,-7.554576
779,Casablanca,Sidi Maarouf,2111000,117,2,1,3,Yes,No,No,Appartement,33.536556,-7.616201
780,Meknès,Ismailia,1509000,154,3,2,2,Yes,No,No,Appartement,33.889972,-5.550383
781,Casablanca,Palmier,4105000,282,4,3,3,Yes,Yes,Yes,Appartement,33.582488,-7.602454
782,Casablanca,Anfa,1566000,113,3,2,4,Yes,No,No,Appartement,33.601056,-7.627553
783,Casablanca,Ain Sebaâ,1194000,115,2,1,3,Yes,No,No,Appartement,33.553459,-7.556506
784,Casablanca,Maarif,1260000,49,1,1,4,Yes,No,Yes,Studio,33.585797,-7.605918
785,Casablanca,CIL,1012000,32,1,1,3,Yes,No,No,Studio,33.584133,-7.613237
786,Casablanca,Hay Hassani,810000,28,1,1,3,Yes,No,No,Studio,33.547886,-7.602518
787,Dar Bouazza,Val Fleuri,1793000,127,2,2,1,Yes,Yes,Yes,Appartement,33.4747,-7.764444
788,Casablanca,Hay Hassani,1134000,50,1,1,2,Yes,Yes,Yes,Studio,33.55166,-7.598754
789,Casablanca,Bourgogne,1679000,76,2,2,3,Yes,Yes,Yes,Appartement,33.582053,-7.604394
790,Casablanca,Maarif,1781000,71,2,2,3,Yes,Yes,Yes,Appartement,33.581216,-7.612532
791,Casablanca,Sidi Maarouf,721000,88,2,2,5,Yes,Yes,Yes,Appartement,33.543058,-7.608301
792,Marrakech,M'Hamid,863000,37,1,1,5,Yes,Yes,No,Studio,31.627929,-7.976295
793,Casablanca,Bourgogne,942000,36,1,1,2,Yes,No,No,Studio,33.58131,-7.603755
794,Casablanca,Hay Hassani,1305000,45,1,1,1,Yes,No,No,Studio,33.546093,-7.596321
795,Marrakech,Guéliz,1049000,43,1,1,3,Yes,Yes,No,Studio,31.620284,-7.985361
796,Tanger,Centre-ville,879000,71,2,1,5,Yes,No,No,Appartement,35.760795,-5.836286
797,Casablanca,Bourgogne,1563000,53,1,1,1,Yes,No,Yes,Studio,33.585645,-7.609616
798,Casablanca,Sidi Maarouf,952000,90,2,1,5,Yes,No,Yes,Appartement,33.538602,-7.609206
799,Casablanca,CIL,2774000,148,3,2,3,Yes,Yes,Yes,Appartement,33.593207,-7.614321
800,Casablanca,Anfa,2381000,119,2,1,3,Yes,No,No,Appartement,33.600589,-7.616118
801,Meknès,Al Qods,1523000,169,3,2,2,Yes,No,No,Appartement,33.899136,-5.553675
802,Casablanca,Sidi Maarouf,3759000,286,4,3,3,Yes,Yes,Yes,Appartement,33.535965,-7.608086
803,Casablanca,Ain Sebaâ,1680000,127,3,2,4,Yes,No,No,Appartement,33.554321,-7.560395
804,Casablanca,Bourgogne,1114000,114,2,1,3,Yes,No,No,Appartement,33.575984,-7.602481
805,Casablanca,Ain Sebaâ,1436000,48,1,1,4,Yes,No,Yes,Studio,33.55088,-7.564382
806,Casablanca,Anfa,882000,33,1,1,3,Yes,No,No,Studio,33.603314,-7.619184
807,Casablanca,Maarif,817000,33,1,1,3,Yes,No,No,Studio,33.580725,-7.600042
808,Dar Bouazza,Dar Bouazza Centre,1795000,118,2,2,1,Yes,Yes,Yes,Appartement,33.47822,-7.76312
809,Casablanca,Bourgogne,1127000,58,1,1,2,Yes,Yes,Yes,Studio,33.585634,-7.595617
810,Casablanca,Bourgogne,1486000,73,2,2,3,Yes,Yes,Yes,Appartement,33.579039,-7.598513
811,Casablanca,Hay Hassani,1878000,72,2,2,3,Yes,Yes,Yes,Appartement,33.545746,-7.600315
812,Casablanca,Anfa,706000,81,2,2,5,Yes,Yes,Yes,Appartement,33.596071,-7.621388
813,Marrakech,Targa,901000,37,1,1,5,Yes,Yes,No,Studio,31.634686,-7.97642
814,Casablanca,Bourgogne,978000,33,1,1,2,Yes,No,No,Studio,33.578271,-7.594423
815,Casablanca,CIL,1411000,48,1,1,1,Yes,No,No,Studio,33.590305,-7.617883
816,Marrakech,M'Hamid,1099000,46,1,1,3,Yes,Yes,No,Studio,31.636502,-7.976852
817,Tanger,California,903000,59,2,1,5,Yes,No,No,Appartement,35.754296,-5.828567
818,Casablanca,Hay Hassani,1489000,60,1,1,1,Yes,No,Yes,Studio,33.546515,-7.595183
819,Casablanca,Anfa,1000000,89,2,1,5,Yes,No,Yes,Appartement,33.599858,-7.616349
820,Casablanca,Maarif,2675000,141,3,2,3,Yes,Yes,Yes,Appartement,33.587714,-7.607174
821,Casablanca,CIL,2240000,121,2,1,3,Yes,No,No,Appartement,33.595069,-7.612189
822,Meknès,Marjane,1353000,162,3,2,2,Yes,No,No,Appartement,33.896131,-5.55557
823,Casablanca,Bourgogne,3866000,320,4,3,3,Yes,Yes,Yes,Appartement,33.583167,-7.598795
824,Casablanca,Maarif,1520000,112,3,2,4,Yes,No,No,Appartement,33.577004,-7.606956
825,Casablanca,Anfa,1123000,115,2,1,3,Yes,No,No,Appartement,33.596781,-7.616491
826,Casablanca,Sidi Maarouf,1297000,42,1,1,4,Yes,No,Yes,Studio,33.543322,-7.611606
827,Casablanca,Maarif,957000,34,1,1,3,Yes,No,No,Studio,33.58989,-7.608336
828,Casablanca,Bourgogne,908000,30,1,1,3,Yes,No,No,Studio,33.583808,-7.601924
829,Dar Bouazza,Val Fleuri,1852000,117,2,2,1,Yes,Yes,Yes,Appartement,33.481657,-7.760798
830,Casablanca,Maarif,1155000,51,1,1,2,Yes,Yes,Yes,Studio,33.586411,-7.60929
831,Casablanca,Ain Sebaâ,1676000,75,2,2,3,Yes,Yes,Yes,Appartement,33.552651,-7.558687
832,Casablanca,Hay Hassani,1934000,74,2,2,3,Yes,Yes,Yes,Appartement,33.552789,-7.606416
833,Casablanca,Palmier,703000,85,2,2,5,Yes,Yes,Yes,Appartement,33.578907,-7.590533
834,Marrakech,Targa,904000,35,1,1,5,Yes,Yes,No,Studio,31.634938,-7.976985
835,Casablanca,Bourgogne,980000,36,1,1,2,Yes,No,No,Studio,33.581076,-7.602653
836,Casablanca,Ain Sebaâ,1403000,50,1,1,1,Yes,No,No,Studio,33.553405,-7.565501
837,Marrakech,Palmeraie,1010000,43,1,1,3,Yes,Yes,No,Studio,31.630168,-7.978508
838,Tanger,California,1013000,69,2,1,5,Yes,No,No,Appartement,35.758377,-5.829198
839,Casablanca,Hay Hassani,1460000,61,1,1,1,Yes,No,Yes,Studio,33.548951,-7.605704
840,Casablanca,Anfa,970000,103,2,1,5,Yes,No,Yes,Appartement,33.597768,-7.617482
841,Casablanca,Hay Hassani,2643000,154,3,2,3,Yes,Yes,Yes,Appartement,33.555686,-7.593158
842,Casablanca,Gauthier,2386000,142,2,1,3,Yes,No,No,Appartement,33.57637,-7.60548
843,Meknès,Ville Nouvelle,1357000,172,3,2,2,Yes,No,No,Appartement,33.888629,-5.548634
844,Casablanca,Gauthier,3862000,304,4,3,3,Yes,Yes,Yes,Appartement,33.576836,-7.595301
845,Casablanca,Gauthier,1621000,126,3,2,4,Yes,No,No,Appartement,33.579839,-7.609728
846,Casablanca,Anfa,1066000,115,2,1,3,Yes,No,No,Appartement,33.59974,-7.616759
847,Casablanca,Ain Sebaâ,1267000,47,1,1,4,Yes,No,Yes,Studio,33.556988,-7.562926
848,Casablanca,Gauthier,1008000,38,1,1,3,Yes,No,No,Studio,33.579021,-7.604496
849,Casablanca,CIL,857000,29,1,1,3,Yes,No,No,Studio,33.592157,-7.615535
850,Dar Bouazza,Val Fleuri,1909000,138,2,2,1,Yes,Yes,Yes,Appartement,33.476537,-7.760566
851,Casablanca,Hay Hassani,1216000,54,1,1,2,Yes,Yes,Yes,Studio,33.543239,-7.595876
852,Casablanca,Bourgogne,1559000,76,2,2,3,Yes,Yes,Yes,Appartement,33.585472,-7.605358
853,Casablanca,CIL,1652000,81,2,2,3,Yes,Yes,Yes,Appartement,33.589503,-7.618842
854,Casablanca,Palmier,712000,76,2,2,5,Yes,Yes,Yes,Appartement,33.580885,-7.594968
855,Marrakech,Guéliz,914000,38,1,1,5,Yes,Yes,No,Studio,31.631658,-7.974713
856,Casablanca,Hay Hassani,894000,31,1,1,2,Yes,No,No,Studio,33.548689,-7.601307
857,Casablanca,Anfa,1359000,45,1,1,1,Yes,No,No,Studio,33.604117,-7.622972
858,Marrakech,M'Hamid,1084000,41,1,1,3,Yes,Yes,No,Studio,31.627891,-7.98183
859,Tanger,Iberia,943000,60,2,1,5,Yes,No,No,Appartement,35.761501,-5.839863
860,Casablanca,Gauthier,1489000,59,1,1,1,Yes,No,Yes,Studio,33.580924,-7.602821
861,Casablanca,Anfa,1018000,89,2,1,5,Yes,No,Yes,Appartement,33.593899,-7.625175
862,Casablanca,CIL,2559000,158,3,2,3,Yes,Yes,Yes,Appartement,33.581556,-7.613013
863,Casablanca,Palmier,2393000,130,2,1,3,Yes,No,No,Appartement,33.588367,-7.591122
864,Meknès,Hamria,1453000,151,3,2,2,Yes,No,No,Appartement,33.893308,-5.543503
865,Casablanca,Palmier,3803000,338,4,3,3,Yes,Yes,Yes,Appartement,33.586731,-7.589641
866,Casablanca,Hay Hassani,1716000,116,3,2,4,Yes,No,No,Appartement,33.544259,-7.592847
867,Casablanca,CIL,1092000,98,2,1,3,Yes,No,No,Appartement,33.589006,-7.610676
868,Casablanca,Maarif,1359000,47,1,1,4,Yes,No,Yes,Studio,33.586895,-7.607018
869,Casablanca,Sidi Maarouf,990000,32,1,1,3,Yes,No,No,Studio,33.535435,-7.608766
870,Casablanca,Palmier,897000,29,1,1,3,Yes,No,No,Studio,33.582354,-7.594172
871,Dar Bouazza,Bouskoura,1812000,116,2,2,1,Yes,Yes,Yes,Appartement,33.473551,-7.763854
872,Casablanca,Hay Hassani,1164000,55,1,1,2,Yes,Yes,Yes,Studio,33.542848,-7.596264
873,Casablanca,Hay Hassani,1655000,64,2,2,3,Yes,Yes,Yes,Appartement,33.552089,-7.596625
874,Casablanca,Maarif,1743000,83,2,2,3,Yes,Yes,Yes,Appartement,33.588161,-7.606338
875,Casablanca,Sidi Maarouf,624000,87,2,2,5,Yes,Yes,Yes,Appartement,33.537915,-7.608502
876,Marrakech,M'Hamid,895000,37,1,1,5,Yes,Yes,No,Studio,31.629714,-7.978118
877,Casablanca,Palmier,972000,31,1,1,2,Yes,No,No,Studio,33.585583,-7.593939
878,Casablanca,Ain Sebaâ,1446000,48,1,1,1,Yes,No,No,Studio,33.555601,-7.558698
879,Marrakech,M'Hamid,991000,39,1,1,3,Yes,Yes,No,Studio,31.628037,-7.985089
880,Tanger,California,919000,70,2,1,5,Yes,No,No,Appartement,35.764637,-5.834642
881,Casablanca,Hay Hassani,1379000,53,1,1,1,Yes,No,Yes,Studio,33.544729,-7.594648
882,Casablanca,Anfa,1045000,89,2,1,5,Yes,No,Yes,Appartement,33.600866,-7.614529
883,Casablanca,Maarif,2478000,161,3,2,3,Yes,Yes,Yes,Appartement,33.584679,-7.614096
884,Casablanca,Sidi Maarouf,2296000,141,2,1,3,Yes,No,No,Appartement,33.544122,-7.611485
885,Meknès,Ismailia,1348000,147,3,2,2,Yes,No,No,Appartement,33.890578,-5.549315
886,Casablanca,Bourgogne,3976000,289,4,3,3,Yes,Yes,Yes,Appartement,33.58465,-7.5993
887,Casablanca,Palmier,1549000,122,3,2,4,Yes,No,No,Appartement,33.581645,-7.593987
888,Casablanca,Maarif,1107000,115,2,1,3,Yes,No,No,Appartement,33.580139,-7.611322
889,Casablanca,Palmier,1367000,49,1,1,4,Yes,No,Yes,Studio,33.577012,-7.602017
890,Casablanca,CIL,904000,37,1,1,3,Yes,No,No,Studio,33.588409,-7.609711
891,Casablanca,Anfa,886000,28,1,1,3,Yes,No,No,Studio,33.600696,-7.618744
892,Dar Bouazza,Dar Bouazza Centre,1906000,131,2,2,1,Yes,Yes,Yes,Appartement,33.48119,-7.757659
893,Casablanca,Anfa,1083000,49,1,1,2,Yes,Yes,Yes,Studio,33.598328,-7.627085
894,Casablanca,Hay Hassani,1625000,73,2,2,3,Yes,Yes,Yes,Appartement,33.548362,-7.605677
895,Casablanca,Anfa,1719000,81,2,2,3,Yes,Yes,Yes,Appartement,33.594923,-7.618833
896,Casablanca,Ain Sebaâ,715000,78,2,2,5,Yes,Yes,Yes,Appartement,33.549844,-7.562692
897,Marrakech,Targa,919000,37,1,1,5,Yes,Yes,No,Studio,31.631754,-7.97322
898,Casablanca,Bourgogne,916000,31,1,1,2,Yes,No,No,Studio,33.578913,-7.59503
899,Casablanca,Palmier,1393000,46,1,1,1,Yes,No,No,Studio,33.579264,-7.605894
900,Marrakech,M'Hamid,977000,46,1,1,3,Yes,Yes,No,Studio,31.635366,-7.983565
901,Tanger,California,980000,70,2,1,5,Yes,No,No,Appartement,35.769987,-5.840191
902,Casablanca,Hay Hassani,1405000,56,1,1,1,Yes,No,Yes,Studio,33.543326,-7.602532
903,Casablanca,Hay Hassani,1058000,102,2,1,5,Yes,No,Yes,Appartement,33.540357,-7.600308
904,Casablanca,Sidi Maarouf,2792000,161,3,2,3,Yes,Yes,Yes,Appartement,33.543962,-7.610948
905,Casablanca,Hay Hassani,2429000,121,2,1,3,Yes,No,No,Appartement,33.556628,-7.605908
906,Meknès,Al Qods,1509000,163,3,2,2,Yes,No,No,Appartement,33.898626,-5.547273
907,Casablanca,Ain Sebaâ,4044000,306,4,3,3,Yes,Yes,Yes,Appartement,33.555011,-7.560057
908,Casablanca,CIL,1559000,116,3,2,4,Yes,No,No,Appartement,33.590898,-7.613814
909,Casablanca,Sidi Maarouf,1137000,101,2,1,3,Yes,No,No,Appartement,33.538242,-7.607577
910,Casablanca,Palmier,1349000,42,1,1,4,Yes,No,Yes,Studio,33.578645,-7.602267
911,Casablanca,Ain Sebaâ,966000,37,1,1,3,Yes,No,No,Studio,33.549548,-7.55742
912,Casablanca,Anfa,811000,31,1,1,3,Yes,No,No,Studio,33.598696,-7.617404
913,Dar Bouazza,Bouskoura,1880000,133,2,2,1,Yes,Yes,Yes,Appartement,33.481069,-7.757795
914,Casablanca,CIL,1188000,58,1,1,2,Yes,Yes,Yes,Studio,33.593192,-7.617949
915,Casablanca,Gauthier,1640000,68,2,2,3,Yes,Yes,Yes,Appartement,33.575236,-7.60316
916,Casablanca,Palmier,1827000,73,2,2,3,Yes,Yes,Yes,Appartement,33.584544,-7.599286
917,Casablanca,Bourgogne,679000,79,2,2,5,Yes,Yes,Yes,Appartement,33.586868,-7.601379
918,Marrakech,Guéliz,867000,36,1,1,5,Yes,Yes,No,Studio,31.634639,-7.97456
919,Casablanca,Bourgogne,931000,35,1,1,2,Yes,No,No,Studio,33.57516,-7.610896
920,Casablanca,Bourgogne,1327000,50,1,1,1,Yes,No,No,Studio,33.582529,-7.600163
921,Marrakech,Palmeraie,1046000,41,1,1,3,Yes,Yes,No,Studio,31.632232,-7.988549
922,Tanger,California,959000,64,2,1,5,Yes,No,No,Appartement,35.764339,-5.837823
923,Casablanca,Ain Sebaâ,1501000,53,1,1,1,Yes,No,Yes,Studio,33.558162,-7.56217
924,Casablanca,Hay Hassani,1032000,95,2,1,5,Yes,No,Yes,Appartement,33.544069,-7.598612
925,Casablanca,Palmier,2403000,137,3,2,3,Yes,Yes,Yes,Appartement,33.58478,-7.601366
926,Casablanca,Hay Hassani,2300000,128,2,1,3,Yes,No,No,Appartement,33.548739,-7.595642
927,Meknès,Marjane,1434000,159,3,2,2,Yes,No,No,Appartement,33.898192,-5.547081
928,Casablanca,Gauthier,3641000,329,4,3,3,Yes,Yes,Yes,Appartement,33.577345,-7.611067
929,Casablanca,Palmier,1487000,131,3,2,4,Yes,No,No,Appartement,33.581997,-7.588726
930,Casablanca,Palmier,1063000,97,2,1,3,Yes,No,No,Appartement,33.582174,-7.598282
931,Casablanca,CIL,1375000,50,1,1,4,Yes,No,Yes,Studio,33.595567,-7.613717
932,Casablanca,Hay Hassani,912000,34,1,1,3,Yes,No,No,Studio,33.544526,-7.595926
933,Casablanca,Gauthier,949000,30,1,1,3,Yes,No,No,Studio,33.579687,-7.605189
934,Dar Bouazza,Dar Bouazza Centre,1656000,131,2,2,1,Yes,Yes,Yes,Appartement,33.477193,-7.766553
935,Casablanca,Sidi Maarouf,1205000,56,1,1,2,Yes,Yes,Yes,Studio,33.547328,-7.614954
936,Casablanca,CIL,1487000,74,2,2,3,Yes,Yes,Yes,Appartement,33.590213,-7.610057
937,Casablanca,Sidi Maarouf,1675000,75,2,2,3,Yes,Yes,Yes,Appartement,33.537669,-7.610603
938,Casablanca,CIL,636000,89,2,2,5,Yes,Yes,Yes,Appartement,33.591269,-7.609157
939,Marrakech,Guéliz,904000,33,1,1,5,Yes,Yes,No,Studio,31.626433,-7.986194
940,Casablanca,Gauthier,907000,35,1,1,2,Yes,No,No,Studio,33.576096,-7.609358
941,Casablanca,Hay Hassani,1303000,46,1,1,1,Yes,No,No,Studio,33.543264,-7.602444
942,Marrakech,Targa,1140000,42,1,1,3,Yes,Yes,No,Studio,31.633569,-7.983919
943,Tanger,California,913000,59,2,1,5,Yes,No,No,Appartement,35.763891,-5.833702
944,Casablanca,Ain Sebaâ,1449000,55,1,1,1,Yes,No,Yes,Studio,33.557441,-7.562708
945,Casablanca,Hay Hassani,924000,98,2,1,5,Yes,No,Yes,Appartement,33.546271,-7.596547
946,Casablanca,Maarif,2542000,154,3,2,3,Yes,Yes,Yes,Appartement,33.588409,-7.608265
947,Casablanca,Ain Sebaâ,2222000,142,2,1,3,Yes,No,No,Appartement,33.556154,-7.554445
948,Meknès,Al Qods,1510000,172,3,2,2,Yes,No,No,Appartement,33.890715,-5.549261
949,Casablanca,Gauthier,4116000,341,4,3,3,Yes,Yes,Yes,Appartement,33.578778,-7.607832
950,Casablanca,Anfa,1624000,113,3,2,4,Yes,No,No,Appartement,33.594486,-7.623615
951,Casablanca,Hay Hassani,1083000,103,2,1,3,Yes,No,No,Appartement,33.542856,-7.602384
952,Casablanca,Anfa,1314000,47,1,1,4,Yes,No,Yes,Studio,33.596404,-7.613483
953,Casablanca,Palmier,1008000,34,1,1,3,Yes,No,No,Studio,33.587639,-7.597014
954,Casablanca,Hay Hassani,823000,31,1,1,3,Yes,No,No,Studio,33.549218,-7.598656
955,Dar Bouazza,Dar Bouazza Centre,1827000,139,2,2,1,Yes,Yes,Yes,Appartement,33.478442,-7.76468
956,Casablanca,Ain Sebaâ,1250000,52,1,1,2,Yes,Yes,Yes,Studio,33.550703,-7.561934
957,Casablanca,CIL,1545000,73,2,2,3,Yes,Yes,Yes,Appartement,33.590813,-7.608227
958,Casablanca,Ain Sebaâ,1736000,84,2,2,3,Yes,Yes,Yes,Appartement,33.546122,-7.56513
959,Casablanca,Anfa,645000,82,2,2,5,Yes,Yes,Yes,Appartement,33.597693,-7.625655
960,Marrakech,Targa,903000,37,1,1,5,Yes,Yes,No,Studio,31.627802,-7.979287
961,Casablanca,Bourgogne,1016000,31,1,1,2,Yes,No,No,Studio,33.581696,-7.604675
962,Casablanca,Gauthier,1322000,53,1,1,1,Yes,No,No,Studio,33.580163,-7.600358
963,Marrakech,Palmeraie,1055000,40,1,1,3,Yes,Yes,No,Studio,31.640762,-7.978724
964,Tanger,California,929000,68,2,1,5,Yes,No,No,Appartement,35.764769,-5.835097
965,Casablanca,Anfa,1510000,55,1,1,1,Yes,No,Yes,Studio,33.601422,-7.626665
966,Casablanca,Gauthier,1032000,90,2,1,5,Yes,No,Yes,Appartement,33.578172,-7.608928
967,Casablanca,Palmier,2672000,141,3,2,3,Yes,Yes,Yes,Appartement,33.578734,-7.59386
968,Casablanca,CIL,2207000,120,2,1,3,Yes,No,No,Appartement,33.590736,-7.617193
969,Meknès,Marjane,1499000,176,3,2,2,Yes,No,No,Appartement,33.886717,-5.550906
970,Casablanca,Hay Hassani,3959000,284,4,3,3,Yes,Yes,Yes,Appartement,33.551054,-7.598751
971,Casablanca,Palmier,1545000,116,3,2,4,Yes,No,No,Appartement,33.583656,-7.598991
972,Casablanca,Maarif,1133000,102,2,1,3,Yes,No,No,Appartement,33.580667,-7.60678
973,Casablanca,Anfa,1315000,47,1,1,4,Yes,No,Yes,Studio,33.588473,-7.618354
974,Casablanca,Sidi Maarouf,941000,34,1,1,3,Yes,No,No,Studio,33.545679,-7.611166
975,Casablanca,Bourgogne,848000,32,1,1,3,Yes,No,No,Studio,33.579486,-7.605435
976,Dar Bouazza,Dar Bouazza Centre,1743000,141,2,2,1,Yes,Yes,Yes,Appartement,33.47741,-7.756797
977,Casablanca,Anfa,1207000,54,1,1,2,Yes,Yes,Yes,Studio,33.595071,-7.618483
978,Casablanca,CIL,1628000,65,2,2,3,Yes,Yes,Yes,Appartement,33.592249,-7.618552
979,Casablanca,Anfa,1676000,78,2,2,3,Yes,Yes,Yes,Appartement,33.596128,-7.615296
980,Casablanca,Anfa,663000,83,2,2,5,Yes,Yes,Yes,Appartement,33.599841,-7.620296
981,Marrakech,Targa,829000,40,1,1,5,Yes,Yes,No,Studio,31.625834,-7.98183
982,Casablanca,Ain Sebaâ,916000,35,1,1,2,Yes,No,No,Studio,33.556166,-7.564358
983,Casablanca,Bourgogne,1417000,49,1,1,1,Yes,No,No,Studio,33.579258,-7.604406
984,Marrakech,Guéliz,986000,40,1,1,3,Yes,Yes,No,Studio,31.628583,-7.973956
985,Tanger,Malabata,901000,61,2,1,5,Yes,No,No,Appartement,35.759322,-5.828704
986,Casablanca,Gauthier,1518000,61,1,1,1,Yes,No,Yes,Studio,33.572279,-7.603348
987,Casablanca,Maarif,1055000,100,2,1,5,Yes,No,Yes,Appartement,33.585408,-7.601836
988,Casablanca,Bourgogne,2647000,139,3,2,3,Yes,Yes,Yes,Appartement,33.581722,-7.606606
989,Casablanca,Gauthier,2158000,138,2,1,3,Yes,No,No,Appartement,33.572555,-7.616159
990,Meknès,Marjane,1417000,168,3,2,2,Yes,No,No,Appartement,33.893274,-5.546762
991,Casablanca,CIL,3934000,302,4,3,3,Yes,Yes,Yes,Appartement,33.592598,-7.61472
992,Casablanca,Ain Sebaâ,1585000,132,3,2,4,Yes,No,No,Appartement,33.548957,-7.557216
993,Casablanca,Sidi Maarouf,1137000,117,2,1,3,Yes,No,No,Appartement,33.541632,-7.613221
994,Casablanca,Palmier,1414000,43,1,1,4,Yes,No,Yes,Studio,33.582628,-7.600811
995,Casablanca,CIL,1025000,33,1,1,3,Yes,No,No,Studio,33.596533,-7.61362
996,Casablanca,Ain Sebaâ,869000,31,1,1,3,Yes,No,No,Studio,33.558132,-7.557921
997,Dar Bouazza,Dar Bouazza Centre,1851000,124,2,2,1,Yes,Yes,Yes,Appartement,33.479999,-7.763428
